variant_code,variant,description,seed,split,n_eval,wl_token_count,system_token_count,feature_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,nll
A,atom_bag,"atoms only, no connectivity",7,test,65,11,0,11,1.4122007118065936,1.1086021236554922,0.7206234145184041,-1.8653151485997144,0.9538461538461539,2.030124308633887,485.4846292672741
A,atom_bag,"atoms only, no connectivity",8,train,577,11,0,11,1.6672468113774266,1.2505598943847824,0.8127249830353172,-1.959241423383766,0.951473136915078,1.9175556846067034,488.0266556016523
A,atom_bag,"atoms only, no connectivity",8,valid,64,11,0,11,1.7559464534906115,1.4448187372460706,0.7229800952695171,-2.020188494754833,0.921875,2.000254700062107,439.125378742984
A,atom_bag,"atoms only, no connectivity",8,test,65,11,0,11,1.8200523383957916,1.424432790178782,0.7674453360543899,-2.050690610911049,0.8923076923076924,2.0035495669054195,488.0266556016523
A,atom_bag,"atoms only, no connectivity",9,train,577,11,0,11,1.699789111211487,1.2636095590859975,0.8057473457039186,-1.975074306741551,0.9549393414211439,1.9402894615415913,488.099870643318
A,atom_bag,"atoms only, no connectivity",9,valid,64,11,0,11,1.9312904731658715,1.580149251706653,0.716611074519921,-2.111563425678172,0.921875,2.034094054732707,435.96632224750255
A,atom_bag,"atoms only, no connectivity",9,test,65,11,0,11,1.7566751964483334,1.4274661135685909,0.7787743853485806,-2.034338541459977,0.9384615384615385,2.03698663970103,488.099870643318
A,atom_bag,"atoms only, no connectivity",10,train,577,11,0,11,1.6442610078938207,1.22971330277617,0.8128985116606531,-1.9422173359342778,0.9584055459272097,1.8789534552639358,478.4002405909648
A,atom_bag,"atoms only, no connectivity",10,valid,64,11,0,11,1.6656487010721692,1.370919702281523,0.7609325103050332,-1.971122792152316,0.953125,1.9846071471903683,431.75900057061904
A,atom_bag,"atoms only, no connectivity",10,test,65,11,0,11,2.3336991212074762,1.5031375537840495,0.6844396977565845,-2.3079711067224498,0.8769230769230769,1.8909235330939493,478.4002405909648
A,atom_bag,"atoms only, no connectivity",11,train,577,11,0,11,1.6731428796915615,1.250072395016582,0.8127911364208038,-1.9623637944357786,0.9549393414211439,1.9214762760844801,487.12492419727437
A,atom_bag,"atoms only, no connectivity",11,valid,64,11,0,11,2.0952135196814394,1.4553821586842188,0.6980596107759884,-2.160145492331876,0.890625,2.002906382698606,433.64002484084
A,atom_bag,"atoms only, no connectivity",11,test,65,11,0,11,1.8316768290620464,1.333348875652094,0.7469632917820894,-2.0228923991539016,0.9076923076923077,2.0859744648836447,487.12492419727437
A,atom_bag,"atoms only, no connectivity",12,train,577,11,0,11,1.7144952659028392,1.2766814571013523,0.7993487300386697,-1.9847907620342125,0.9410745233968805,1.9585072690739629,499.4605851751073
A,atom_bag,"atoms only, no connectivity",12,valid,64,11,0,11,1.7665839230570197,1.5084841573511782,0.7706441395985695,-2.0194900442088235,0.953125,2.0273835629185917,454.11267723007273
A,atom_bag,"atoms only, no connectivity",12,test,65,11,0,11,1.6578772929521741,1.247638849999167,0.8251554327572216,-1.936189863966831,0.9846153846153847,2.0205995777858403,499.4605851751073
A,atom_bag,"atoms only, no connectivity",13,train,577,11,0,11,1.6236122227484244,1.2056700187773939,0.8145927226294472,-1.9326667886198274,0.951473136915078,1.8750163373479394,491.47905930543243
A,atom_bag,"atoms only, no connectivity",13,valid,64,11,0,11,2.4898184199707996,1.6761403040195724,0.7263654138596218,-2.4568588105064157,0.875,1.9867828545979846,439.5971852160301
A,atom_bag,"atoms only, no connectivity",13,test,65,11,0,11,2.0322563212185,1.486053958588032,0.7912301421210008,-2.1646478854433573,0.9230769230769231,1.9939655598153014,491.47905930543243
A,atom_bag,"atoms only, no connectivity",14,train,577,11,0,11,1.6793116462460853,1.240987781610292,0.8073885801109643,-1.9659121544005014,0.9445407279029463,1.931735743609525,497.5150274519473
A,atom_bag,"atoms only, no connectivity",14,valid,64,11,0,11,2.0018358359961175,1.576470513110333,0.7451824407152002,-2.127426678321211,0.890625,1.9622845140346503,453.5334589630244
A,atom_bag,"atoms only, no connectivity",14,test,65,11,0,11,1.6153587880634128,1.2516044830480402,0.8340569465549366,-1.9561177737950617,0.9692307692307692,2.130956108149755,497.5150274519473
A,atom_bag,"atoms only, no connectivity",15,train,577,11,0,11,1.7154271022115246,1.2693356580456157,0.8034967010879673,-1.9848885549836146,0.9445407279029463,1.9566177465359496,491.02732905719813
A,atom_bag,"atoms only, no connectivity",15,valid,64,11,0,11,1.6317405961785862,1.3864055132884576,0.787219314033081,-1.9574859531428048,0.984375,2.017090799067492,447.9130395053381
A,atom_bag,"atoms only, no connectivity",15,test,65,11,0,11,1.7087135458184475,1.390417589923003,0.7240190992341834,-1.976409623353234,0.9692307692307692,2.08393598552216,491.02732905719813
A,atom_bag,"atoms only, no connectivity",16,train,577,11,0,11,1.620880513897294,1.2020384533242428,0.8233499707223847,-1.9326353999755879,0.9428076256499134,1.8746562265962796,479.59615508803466
A,atom_bag,"atoms only, no connectivity",16,valid,64,11,0,11,1.9197576688774964,1.4493315855519917,0.6711037042869243,-2.0131401403861036,0.90625,2.00555089673251,430.44361992113187
A,atom_bag,"atoms only, no connectivity",16,test,65,11,0,11,2.095256116641652,1.6216192374618459,0.6532470076047336,-2.185710676712018,0.8769230769230769,1.967429548325996,479.59615508803466
A,atom_bag,"atoms only, no connectivity",17,train,577,11,0,11,1.6763506358205207,1.236269803055297,0.8116285628090397,-1.963284896201474,0.9480069324090121,1.9266257374163969,489.33808521225853
A,atom_bag,"atoms only, no connectivity",17,valid,64,11,0,11,1.8566609259705458,1.4731075160742395,0.7240981985670354,-2.018816303497607,0.921875,1.9891461710264138,441.5718664413335
A,atom_bag,"atoms only, no connectivity",17,test,65,11,0,11,1.690865073426609,1.3982996754459405,0.7886279666761301,-1.995394440544277,0.9692307692307692,2.0397046536571555,489.33808521225853
A,atom_bag,"atoms only, no connectivity",18,train,577,11,0,11,1.7018928572873422,1.2674417702865,0.8094122161293773,-1.9770567465460105,0.9462738301559792,1.9461848646391755,485.3577950264634
A,atom_bag,"atoms only, no connectivity",18,valid,64,11,0,11,2.2210208897332997,1.6113335081380908,0.7577686950257574,-2.2361776342106965,0.921875,2.002034724453491,438.9672693184566
A,atom_bag,"atoms only, no connectivity",18,test,65,11,0,11,1.696818046587545,1.3282197443718244,0.7298556983778934,-1.9894415182226244,0.9384615384615385,2.0819859710337942,485.3577950264634
A,atom_bag,"atoms only, no connectivity",19,train,577,11,0,11,1.6793655871982835,1.2527688142819169,0.8131305447299795,-1.9662694920858312,0.949740034662045,1.9332364752732283,489.0109997341297
A,atom_bag,"atoms only, no connectivity",19,valid,64,11,0,11,1.7084984529936664,1.3684206854551677,0.7084512765512319,-2.012996639162007,0.953125,2.0703712804523584,438.36283283929856
A,atom_bag,"atoms only, no connectivity",19,test,65,11,0,11,1.5971812024434442,1.2403911445807638,0.783197402812789,-1.9488393180718393,0.9538461538461539,1.9929135306755703,489.0109997341297
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,0,train,577,8168,0,8168,0.025910874699901592,0.012067914766854062,0.999951964959147,0.6759241540000424,1.0,0.20100985169260333,285.8546826694914
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,0,valid,64,8168,0,8168,1.4031104888967945,0.8231364118390774,0.8944305111140921,-1.6389222815123887,0.90625,1.5441711936194709,277.9483174736009
