dataset,representation,target,model,method,parameter_type,parameter_name,feature_group,equation_term,draw_count,runtime_seconds,posterior_mean,posterior_abs_mean,posterior_sd,posterior_median,posterior_p05,posterior_p95,importance_rank
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.1961456669960171,1.2758385246045194,1.2758385246045194,0.0,1.2758385246045194,1.2758385246045194,1.2758385246045194,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.1961456669960171,0.0832994882764144,0.0832994882764144,0.0,0.0832994882764144,0.0832994882764144,0.0832994882764144,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.1961456669960171,-3.8090294627383017,3.8090294627383017,0.0,-3.8090294627383017,-3.8090294627383017,-3.8090294627383017,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.1961456669960171,3.8526536931316926,3.8526536931316926,0.0,3.8526536931316926,3.8526536931316926,3.8526536931316926,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.22272391700244043,1.9161436819063273,1.9161436819063273,0.0,1.9161436819063273,1.9161436819063273,1.9161436819063273,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.22272391700244043,1.434923210260941,1.434923210260941,0.0,1.434923210260941,1.434923210260941,1.434923210260941,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.22272391700244043,0.09133989869954809,0.09133989869954809,0.0,0.09133989869954809,0.09133989869954809,0.09133989869954809,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.22272391700244043,-3.786429809358752,3.786429809358752,0.0,-3.786429809358752,-3.786429809358752,-3.786429809358752,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.22272391700244043,3.8566618510427095,3.8566618510427095,0.0,3.8566618510427095,3.8566618510427095,3.8566618510427095,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.20747420800034888,1.980465592653365,1.980465592653365,0.0,1.980465592653365,1.980465592653365,1.980465592653365,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.20747420800034888,1.4839913509581537,1.4839913509581537,0.0,1.4839913509581537,1.4839913509581537,1.4839913509581537,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.20747420800034888,0.09599066043468059,0.09599066043468059,0.0,0.09599066043468059,0.09599066043468059,0.09599066043468059,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.20747420800034888,-3.729168110918544,3.729168110918544,0.0,-3.729168110918544,-3.729168110918544,-3.729168110918544,4
