dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,runtime_seconds,seed,parameter_count,student_df,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,selection_nll,final_nll
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.39071037498069927,7,6,,0.7933276258182532,0.5671975757844329,0.9257525391751327,-1.1231245738179116,0.96875,1.1040373356759232,150.33079100524475,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.39071037498069927,7,6,,0.6833083459848371,0.47014981212038254,0.9345920400980369,-1.0525709964970278,0.9692307692307692,0.9968420706005756,,142.96562389996768
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5211633750004694,8,6,,0.0408079639499172,0.023041109751739695,0.9998878059287463,0.5631296582441946,0.9982668977469671,0.2230610033239539,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5211633750004694,8,6,,0.6391222592537168,0.44415872364142295,0.9633008229348949,-1.0306665879607375,0.984375,1.050198541310586,157.25485449864823,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5211633750004694,8,6,,0.9339409204838081,0.6068721924478693,0.9387655095046237,-1.2651589559891991,0.9384615384615385,1.073153719488616,,141.0509144671306
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.41018629097379744,9,6,,0.0462229049432301,0.02657156384401885,0.9998563547241047,0.4606170648883889,0.9982668977469671,0.24696150127260552,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.41018629097379744,9,6,,1.2505323671013393,0.8623342916315496,0.8811832819972659,-1.6132300561267034,0.875,1.174366211116691,135.06212734960428,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.41018629097379744,9,6,,0.8093903336255791,0.5448375845006919,0.9530356302415521,-1.1095525265823232,0.9384615384615385,1.0276326821172987,,153.90913701855567
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5288378749974072,10,6,,0.04371520276028569,0.025391732984187447,0.999867748465349,0.5184487969553447,0.9982668977469671,0.233101009205868,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5288378749974072,10,6,,0.93363047805915,0.5942613776742207,0.9248889658180623,-1.354598942547251,0.953125,1.0696787963913925,144.353645565117,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5288378749974072,10,6,,1.0086773225165486,0.6007365422580854,0.9410481888956488,-1.2743752691657009,0.8923076923076924,0.9657250948548958,,149.9825857783569
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5648433750029653,11,6,,0.03358553585553528,0.018790955246690673,0.999924566386623,0.6667043251192524,0.9982668977469671,0.20173923704533417,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5648433750029653,11,6,,1.166138336531787,0.6620830157230659,0.9064670179620108,-1.4343687221781662,0.9375,1.1396131812748695,137.66356540353712,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5648433750029653,11,6,,0.9118652914490766,0.6066551813024161,0.9372884988543198,-1.2375767564472273,0.9538461538461539,1.2297553604937999,,141.64299643492438
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5248155000153929,12,6,,0.0440198322579485,0.025404489125099558,0.9998677285547432,0.5216206248279155,0.9982668977469671,0.23234946458247552,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5248155000153929,12,6,,0.8393494365563183,0.6282701301227342,0.9482241901767802,-1.1653656538395947,0.921875,1.0155302166738962,159.90026699416336,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5248155000153929,12,6,,0.9123686330278966,0.5976560817467852,0.9470473050499303,-1.2885555388037255,0.9538461538461539,1.050384324859037,,146.4855205464488
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5666019589989446,13,6,,0.0393902363511355,0.022586851816918333,0.9998908712135456,0.5810956855529321,1.0,0.21927341934703717,,
